product_title,product_category,append_to_term
Coverage Operational Reach and Effectiveness,projects,Humanitarian Outcomes
Aid Worker Security Report,projects,Humanitarian Outcomes
Humanitarian Access SCORE Report,projects,Humanitarian Outcomes
Figures at a Glance,projects,Humanitarian Outcomes
Aid Worker Security Database,projects,Humanitarian Outcomes
Global Database on Humanitarian Organizations,projects,Humanitarian Outcomes
Global Database on Humanitarian Coverage,projects,Humanitarian Outcomes
Necessary Risks Professional Humanitarianism and Violence against Aid Workers,projects,Humanitarian Outcomes
Paul Harvey,people,Humanitarian Outcomes
Abby Stoddard,people,Humanitarian Outcomes
Glyn Taylor,people,Humanitarian Outcomes
Meriah-Jo Breckenridge,people,Humanitarian Outcomes
Monica Czwarno,people,Humanitarian Outcomes
